,Arbour Hospital,BOSTON VETERAN CENTER,Beth Israel Deaconess Medical Center - West Campus,Beth Isreal Deaconess medical Center - East Campus,Boston Medical Center - East Newton Campus,Boston Medical Center - Menino Campus,Boston Public Health Commission Medical Facilities,Brigham and Women's Hospital,Carney Hospital,Children's Hospital Boston,Dana-Farber Cancer Institute,Erich LIindemann Mental Health Center,Faulkner Hospital,Franciscan Children's Hospital & Rehab Center,Hebrew Rehabilitation Center,Jewish Memorial Hospital & Radius Hospital,Kindred Hospital,Lemuel Shattuck Hospital,MGH at the Navy Yard,Mass General Hospital,Massachusetts Eye and Ear Infirmary,New England Baptist Hospital,Shriner’s Burn Institute ,Spaulding Rehabilitation Hospital,St. Elizabeth's Hospital,Tufts Medical Center,Urgent Care Medical Unit,VA Bos. Healthcare System - Jamaica Plain,VA Bos. Healthcare System - W. Roxbury,Veterans Affairs Boston Health Care System
Arbour Hospital,0,823,530,612,1127,1061,978,554,1193,643,565,1328,557,678,675,608,1076,655,1478,1272,1212,553,1296,1234,1175,1239,1297,413,1205,1242
BOSTON VETERAN CENTER,730,0,358,366,897,894,811,383,1204,420,371,677,1046,783,1164,902,845,1228,810,587,642,533,644,556,819,832,700,587,1487,638
Beth Israel Deaconess Medical Center - West Campus,436,354,0,99,913,847,764,64,1303,136,57,933,752,464,870,583,701,934,1066,843,898,214,900,812,777,1025,864,293,1193,894
Beth Isreal Deaconess medical Center - East Campus,517,358,101,0,987,921,838,138,1373,161,114,890,833,538,951,653,782,1015,1023,800,855,284,857,769,851,1045,889,374,1274,851
Boston Medical Center - East Newton Campus,1102,1006,899,981,0,292,255,867,1009,949,904,740,1534,509,1652,786,1231,1181,890,684,624,920,708,646,1211,651,717,960,1992,654
Boston Medical Center - Menino Campus,975,913,772,854,263,0,232,740,918,811,777,649,1407,358,1525,668,1140,1066,799,593,533,793,617,555,1120,560,865,833,1896,563
Boston Public Health Commission Medical Facilities,944,781,741,823,279,180,0,709,784,791,746,515,1376,353,1494,628,1006,1013,665,459,399,762,483,421,986,426,742,802,1767,429
Brigham and Women's Hospital,440,386,73,155,891,825,742,0,1286,156,78,989,756,442,874,566,731,938,1122,899,954,197,956,868,807,1003,842,296,1197,950
Carney Hospital,1220,1277,1327,1401,946,956,873,1299,0,1382,1324,1011,1279,947,1371,933,1502,743,1161,955,895,1261,979,917,1482,922,1238,1293,1767,925
Children's Hospital Boston,540,460,149,172,970,904,821,151,1386,0,128,1006,856,521,974,666,811,1038,1139,916,971,297,973,885,887,1082,857,396,1297,967
Dana-Farber Cancer Institute,451,375,59,114,911,845,762,62,1297,118,0,948,767,462,885,577,722,949,1081,858,913,208,915,827,798,1023,846,307,1208,909
Erich LIindemann Mental Health Center,1286,682,907,930,741,738,655,887,1048,887,886,0,1602,759,1720,1034,1189,1370,653,353,300,996,174,259,1169,699,694,1095,1950,307
Faulkner Hospital,563,1018,725,807,1558,1489,1406,749,1225,838,760,1641,0,1104,229,948,957,687,1774,1551,1606,827,1608,1520,1056,1656,1549,746,860,1602
Franciscan Children's Hospital & Rehab Center,643,753,440,522,560,463,380,408,981,490,445,715,1075,0,1193,339,1092,756,865,659,599,461,683,621,1168,626,942,501,1564,629
Hebrew Rehabilitation Center,643,1098,805,887,1638,1569,1486,829,1305,918,840,1721,198,1184,0,1028,1010,767,1854,1631,1686,907,1688,1600,1109,1736,1629,826,816,1682
Jewish Memorial Hospital & Radius Hospital,529,824,511,585,761,692,609,483,940,586,508,948,967,307,1085,0,1135,593,1098,892,832,445,916,854,1222,859,1076,477,1540,862
Kindred Hospital,990,780,672,754,1232,1333,1255,696,1534,785,707,1198,1024,1096,1115,1174,0,1311,1348,1142,1082,805,1166,1104,215,1084,1016,850,1334,1112
Lemuel Shattuck Hospital,732,1247,934,1008,1133,1034,951,906,631,1009,931,1270,705,756,810,562,1416,0,1420,1214,1154,868,1238,1176,1515,1181,1497,900,1441,1184
MGH at the Navy Yard,1559,955,1180,1203,961,958,875,1160,1268,1160,1159,692,1875,979,1993,1254,1409,1590,0,659,599,1269,683,623,1389,919,967,1368,2170,424
Mass General Hospital,1226,622,847,870,746,743,660,827,1053,827,826,332,1542,764,1660,1039,1194,1375,659,0,325,936,226,405,1174,704,634,1035,1955,487
Massachusetts Eye and Ear Infirmary,1216,612,837,860,729,726,643,817,1036,817,816,328,1532,747,1650,1022,1177,1358,642,104,0,926,230,388,1157,687,624,1025,1938,470
New England Baptist Hospital,572,563,250,324,887,821,738,222,1263,325,247,1088,849,438,967,543,865,916,1238,1032,972,0,1056,994,961,999,944,273,1290,1002
Shriner’s Burn Institute ,1257,653,878,901,770,767,684,858,1077,858,857,160,1573,788,1691,1063,1218,1399,683,235,190,967,0,348,1198,728,665,1066,1979,396
Spaulding Rehabilitation Hospital,1200,664,889,912,591,588,505,869,898,869,868,234,1584,609,1702,884,1039,1220,503,342,282,978,338,0,1019,549,676,1058,1800,305
St. Elizabeth's Hospital,1052,813,724,806,1203,1304,1226,748,1505,837,759,1169,1042,1148,1111,1236,219,1373,1319,1113,1053,867,1137,1075,0,1055,987,912,1271,1083
Tufts Medical Center,1402,940,1165,1188,684,785,707,1145,930,1145,1144,674,1783,811,1852,1086,1120,1271,824,618,558,1220,642,580,1100,0,527,1260,1881,588
Urgent Care Medical Unit,1153,623,786,829,744,933,872,754,1224,786,785,847,1469,882,1587,1047,914,1420,980,757,772,860,814,726,894,579,0,962,1675,802
VA Bos. Healthcare System - Jamaica Plain,414,579,286,368,1009,943,860,310,1304,399,321,1202,747,560,865,598,839,918,1335,1112,1094,320,1169,1081,938,1121,1089,0,1236,1124
VA Bos. Healthcare System - W. Roxbury,1310,1579,1288,1370,1961,2046,1963,1312,1571,1401,1323,1927,865,1663,871,1695,1399,1434,2077,1871,1811,1364,1895,1833,1397,1813,1745,1332,0,1841
Veterans Affairs Boston Health Care System,1342,755,980,1003,733,730,647,960,1040,960,959,316,1675,751,1793,1026,1181,1362,463,447,387,1069,420,346,1161,719,767,1168,1942,0
