,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,0,530,612,1127,1061,554,1193,643,565,1328,557,678,675,608,1076,655,1272,1212,553,1296,1234,1175,1239,1205
2,436,0,99,913,847,64,1303,136,57,933,752,464,870,583,701,934,843,898,214,900,812,777,1025,1193
3,517,101,0,987,921,138,1373,161,114,890,833,538,951,653,782,1015,800,855,284,857,769,851,1045,1274
4,1102,899,981,0,292,867,1009,949,904,740,1534,509,1652,786,1231,1181,684,624,920,708,646,1211,651,1992
5,975,772,854,263,0,740,918,811,777,649,1407,358,1525,668,1140,1066,593,533,793,617,555,1120,560,1896
6,440,73,155,891,825,0,1286,156,78,989,756,442,874,566,731,938,899,954,197,956,868,807,1003,1197
7,1220,1327,1401,946,956,1299,0,1382,1324,1011,1279,947,1371,933,1502,743,955,895,1261,979,917,1482,922,1767
8,540,149,172,970,904,151,1386,0,128,1006,856,521,974,666,811,1038,916,971,297,973,885,887,1082,1297
9,451,59,114,911,845,62,1297,118,0,948,767,462,885,577,722,949,858,913,208,915,827,798,1023,1208
10,1286,907,930,741,738,887,1048,887,886,0,1602,759,1720,1034,1189,1370,353,300,996,174,259,1169,699,1950
11,563,725,807,1558,1489,749,1225,838,760,1641,0,1104,229,948,957,687,1551,1606,827,1608,1520,1056,1656,860
12,643,440,522,560,463,408,981,490,445,715,1075,0,1193,339,1092,756,659,599,461,683,621,1168,626,1564
13,643,805,887,1638,1569,829,1305,918,840,1721,198,1184,0,1028,1010,767,1631,1686,907,1688,1600,1109,1736,816
14,529,511,585,761,692,483,940,586,508,948,967,307,1085,0,1135,593,892,832,445,916,854,1222,859,1540
15,990,672,754,1232,1333,696,1534,785,707,1198,1024,1096,1115,1174,0,1311,1142,1082,805,1166,1104,215,1084,1334
16,732,934,1008,1133,1034,906,631,1009,931,1270,705,756,810,562,1416,0,1214,1154,868,1238,1176,1515,1181,1441
17,1226,847,870,746,743,827,1053,827,826,332,1542,764,1660,1039,1194,1375,0,325,936,226,405,1174,704,1955
18,1216,837,860,729,726,817,1036,817,816,328,1532,747,1650,1022,1177,1358,104,0,926,230,388,1157,687,1938
19,572,250,324,887,821,222,1263,325,247,1088,849,438,967,543,865,916,1032,972,0,1056,994,961,999,1290
20,1257,878,901,770,767,858,1077,858,857,160,1573,788,1691,1063,1218,1399,235,190,967,0,348,1198,728,1979
21,1200,889,912,591,588,869,898,869,868,234,1584,609,1702,884,1039,1220,342,282,978,338,0,1019,549,1800
22,1052,724,806,1203,1304,748,1505,837,759,1169,1042,1148,1111,1236,219,1373,1113,1053,867,1137,1075,0,1055,1271
23,1402,1165,1188,684,785,1145,930,1145,1144,674,1783,811,1852,1086,1120,1271,618,558,1220,642,580,1100,0,1881
24,1310,1288,1370,1961,2046,1312,1571,1401,1323,1927,865,1663,871,1695,1399,1434,1871,1811,1364,1895,1833,1397,1813,0
