Depot 1,Depot 2,Patient 1,Patient 2,Patient 3,Patient 4,Patient 5,Patient 6,Patient 7,Patient 8,Patient 9,Patient 10,Dest Patient1,Dest Patient2,Dest Patient3,Dest Patient4,Dest Patient5,Dest Patient6,Dest Patient7,Dest Patient8,Dest Patient9,Dest Patient10
0,1125,1041,1294,1492,1708,2749,480,744,711,530,880,1388,623,483,1293,923,643,708,1327,1071,437
1784,0,315,469,572,698,566,938,1151,1187,1166,1283,752,581,721,416,1008,400,243,1211,473,1140
1595,453,0,0,236,1102,1121,1111,1245,1076,1277,1179,673,1016,981,0,1185,0,131,855,688,779
743,287,0,0,191,812,1003,1091,816,722,925,546,1072,1071,774,0,810,0,194,1212,1342,945
828,282,85,121,0,1427,811,761,835,747,1035,831,1330,757,499,148,1304,147,0,904,541,1080
1658,955,1101,955,1201,0,0,1117,999,2145,1817,1740,0,1700,2421,551,2139,924,1384,0,1856,1043
2441,1368,640,581,1329,0,0,1915,1962,1390,1877,1416,0,989,2142,987,1830,1101,788,0,1826,2167
877,642,716,920,852,1319,1826,0,0,0,0,1034,2227,0,0,504,0,614,1028,2432,634,0
756,924,1070,1127,1080,1823,969,0,0,0,0,386,2095,0,0,1023,0,656,713,1251,599,0
385,1210,1209,796,1040,999,2155,0,0,0,0,1044,1087,0,0,915,0,839,572,2303,536,0
622,1322,643,877,570,1265,1590,0,0,0,0,356,1555,0,0,912,0,814,947,1632,771,0
871,967,727,1249,717,2075,2474,549,335,526,439,0,2149,674,331,1024,833,1427,1235,2034,0,660
2335,534,1066,484,477,0,0,1891,890,2401,1860,1443,0,2339,1830,537,1970,1138,1310,0,1960,2307
502,1214,563,1184,1088,2349,971,0,0,0,0,1005,1988,0,0,896,0,1024,708,2400,511,0
827,1244,583,631,465,839,2425,0,0,0,0,797,2031,0,0,1135,0,922,1037,1112,670,0
1435,403,0,0,138,1142,447,945,983,759,1057,1467,1296,1101,489,0,887,0,128,1116,1049,938
626,672,1166,462,1121,1030,1906,0,0,0,0,751,1316,0,0,673,0,476,1156,2146,899,0
649,436,0,0,173,604,508,1079,623,674,1065,957,1165,1213,1200,0,1318,0,124,761,1256,656
981,628,86,129,0,990,502,490,455,1069,1287,961,1295,521,956,175,1352,144,0,982,824,1333
1201,1300,716,818,1132,0,0,909,1730,1008,1271,1031,0,1234,2222,664,2279,849,500,0,2319,1013
1158,1006,1645,943,596,2270,1360,844,754,847,885,0,1541,811,605,689,802,1263,805,1982,0,382
1055,706,553,420,933,1717,1335,0,0,0,0,779,2382,0,0,779,0,1192,652,2303,810,0
